17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
17;13;36
12;34;21
6;8;11
35;32;30
1;2;3
34;23;10
21;10;3
13;9;15
24;10;15
